típus;év;utas;személyzet;utazósebesség;felszállótömeg;fesztáv
Airbus A300;1972;336;[3];911;142.0;147.0
Airbus A310;1982;218;[3];950;150.0;144.0
Airbus A320;1985;179;[3];950;66.0;111.0
Antonov An-24;1960;50;[3];450;21.0;96.0
BAC VC-10;1962;180;[3];915;152.0;140.0
BAe (HS) 748;1960;58;[3];452;21.0;102.0
BAe /BAC/ One-Eleven 475;1967;119;[3];742;45.0;94.0
BAe 146;1981;111;[3];709;42.0;94.0
Boeing 707;1954;219;[3];866;151.0;146.0
Boeing 727;1962;189;[3];953;84.0;108.0
Boeing 737;1967;149;[3];856;52.0;93.0
Boeing 747;1969;516;[3];955;322.0;196.0
Concorde;1970;144;[3];2179;185.0;84.0
DHC-5 Buffalo;1964;40;[3];467;22.0;96.0
DHC-6 Twin Otter;1965;20;[3];338;6.0;65.0
DHC-7 Dash 7;1975;54;[3];420;21.0;93.0
DHC-8 Dash 8;1983;40;[3];497;15.0;85.0
Dornier 228;1981;19;[3];428;6.0;56.0
Fokker F27 Friendship;1955;52;[3];480;21.0;95.0
Fokker F28 Fellowship;1967;85;[3];843;33.0;82.0
Iljusin Il-18 Moszkva;1957;85;[3];675;64.0;118.0
Iljusin Il-62;1963;186;[3];820;162.0;142.0
Iljusin Il-86;1976;350;[3];950;206.0;158.0
Jakovlev Jak-40;1966;32;[3];550;16.0;82.0
Jakovlev Jak-42;1975;120;[3];810;54.0;114.0
Lockheed L-1011 Tristar;1970;400;[3];964;195.0;155.0
McDonnell Douglas DC-8;1958;251;[3];965;251.0;151.0
McDonnell Douglas DC-9;1965;172;[3];907;55.0;93.0
McDonnell Douglas DC-10;1970;345;[3];940;200.0;155.0
Tupoljev Tu-134;1967;80;[3];870;47.0;95.0
Tupoljev Tu-144;1968;140;[3];2500;180.0;94.0
Tupoljev Tu-154;1968;169;[3];975;98.0;123.0
